# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	15065
#@/user_id	brainocean_emacs
a 	啊	c=20 d=0.118374 t=15065
yao shen yi bian 	搖身一變	c=0 d=0.1 t=5597
yao shen yi bian cheng wei yi ge hong zhe lian de gu niang 	搖身一變成爲一個紅着臉的姑娘	c=1 d=1 t=5598
yao shi 	要是	c=1 d=7.36387e-16 t=15065
yao shi jue de mang bu guo lai 	要是覺得忙不過來	c=1 d=0.00384878 t=15065
yao shi xian 	要實現	c=1 d=7.37374e-05 t=15065
yao shi you 	要是有	c=1 d=0.71177 t=15065
yao shi zai 	要是在	c=1 d=3.50376e-18 t=15065
yao shi zai ban gong shi 	要是在辦公室	c=1 d=2.54453e-17 t=15065
yao shuo de 	要說的	c=1 d=8.59655e-16 t=15065
yao su 	要素	c=1 d=0.129414 t=15065
yao ti na xie wen ti 	要提哪些問題	c=1 d=0.00115923 t=15065
yao tui chi xia 	要推遲下	c=1 d=0.0295994 t=15065
yao xie 	要寫	c=0 d=0.0271173 t=15065
yao xie qing chu 	要寫清楚	c=1 d=0.272532 t=15065
yao yan de 	耀眼的	c=0 d=0.1 t=5638
yao yan de liang guang 	耀眼的亮光	c=1 d=1 t=5639
yao yong 	要用	c=1 d=6.54326e-11 t=15065
yao you 	要有	c=1 d=4.1242e-22 t=15065
yao zhao zhe ge ren 	要招這個人	c=1 d=1.30543e-18 t=15065
yao zuo 	要做	c=1 d=0.843665 t=15065
ye 	也	c=11 d=0.177726 t=15065
ye 	葉	c=0 d=0.0151072 t=15065
ye 	頁	c=13 d=0.0526668 t=15065
ye bei 	也被	c=1 d=0.0152985 t=15065
ye bu 	也不	c=0 d=0.000503193 t=15065
ye bu dan xin 	也不擔心	c=1 d=2.59417e-09 t=15065
ye bu gou wen ding 	也不夠穩定	c=1 d=0.000284437 t=15065
ye bu hui 	也不會	c=1 d=0.0934807 t=15065
ye bu neng 	也不能	c=3 d=4.83144e-13 t=15065
ye bu shi 	也不是	c=1 d=0.491644 t=15065
ye bu zen me yang ma 	也不怎麼樣嘛	c=1 d=0.000261259 t=15065
ye dou 	也都	c=1 d=7.70502e-22 t=15065
ye gao ding 	也搞定	c=1 d=1.15742e-14 t=15065
ye ge bu xiang tong 	也各不相同	c=1 d=7.96997e-08 t=15065
ye gei da jia 	也給大家	c=1 d=2.25097e-16 t=15065
ye hen hao 	也很好	c=1 d=4.11145e-15 t=15065
ye hui 	也會	c=1 d=2.30082e-09 t=15065
ye jiu 	也就	c=1 d=0.00215492 t=15065
ye jiu cheng wei yi ge 	也就成爲一個	c=1 d=3.19265e-10 t=15065
ye ke yi 	也可以	c=4 d=5.9637e-08 t=15065
ye ke yi shi 	也可以是	c=1 d=8.63524e-10 t=15065
ye ke yi xuan ze 	也可以選擇	c=1 d=1.72221e-13 t=15065
ye li 	夜裏	c=1 d=4.73091e-19 t=15065
ye lia 	爺倆	c=1 d=3.93255e-21 t=15065
ye mei you 	也沒有	c=1 d=0.00279479 t=15065
ye mian 	頁面	c=3 d=0.00157264 t=15065
ye mian shang you 	頁面上有	c=1 d=1.22498e-05 t=15065
ye neng 	也能	c=1 d=1.18285e-05 t=15065
ye neng xie 	也能寫	c=1 d=2.15265e-20 t=15065
ye qing 	也請	c=0 d=0.00443785 t=15065
ye qing bang wo 	也請幫我	c=1 d=0.044601 t=15065
ye shang mian 	頁上面	c=1 d=1.71718e-08 t=15065
ye shi 	也是	c=6 d=0.669761 t=15065
ye shi cong 	也是從	c=1 d=2.09373e-17 t=15065
ye shi guo le 	也試過了	c=1 d=0.0118551 t=15065
ye shi zhong guo su du de yi zuo li cheng bei 	也是中國速度的一座里程碑	c=1 d=1 t=5556
ye suan 	也算	c=1 d=5.35717e-11 t=15065
ye suan shi 	也算是	c=1 d=3.0754e-11 t=15065
ye tai 	業態	c=0 d=1.37853e-13 t=15065
ye wu 	業務	c=2 d=0.0886858 t=15065
ye wu huo ban feng xian 	業務夥伴風險	c=1 d=6.62275e-06 t=15065
ye wu jia zhi 	業務價值	c=1 d=0.00154923 t=15065
ye wu tao zhan 	業務套站	c=1 d=1 t=5327
ye wu tiao zhan 	業務挑戰	c=4 d=0.103412 t=15065
ye xiang 	也想	c=1 d=1.44596e-15 t=15065
ye xiang xiang kan 	也想想看	c=1 d=0.00381048 t=15065
ye xiao 	夜宵	c=1 d=0.0071546 t=15065
ye xing 	也行	c=2 d=0.00673795 t=15065
ye xu 	也許	c=12 d=0.0532464 t=15065
ye xu ba 	也許吧	c=1 d=3.67555e-20 t=15065
ye xu can jia 	也許參加	c=1 d=0.000164106 t=15065
ye xu neng 	也許能	c=0 d=1.36435e-09 t=15065
ye xu neng zhao dao yi ge geng hao de 	也許能找到一個更好的	c=1 d=1.37119e-08 t=15065
ye xu shi 	也許是	c=0 d=0.0227638 t=15065
ye xu yao 	也許要	c=2 d=0.00311976 t=15065
ye yao 	也要	c=2 d=0.0564161 t=15065
ye yao bao zheng 	也要保證	c=1 d=3.83415e-17 t=15065
ye yao xie chu lai 	也要寫出來	c=1 d=9.8307e-06 t=15065
ye yao xie qing chu 	也要寫清楚	c=1 d=8.58924e-06 t=15065
ye yi jing 	也已經	c=1 d=2.4796e-07 t=15065
ye yong 	也用	c=0 d=2.08903e-21 t=15065
ye yong dao le 	也用到了	c=1 d=2.09951e-20 t=15065
ye you 	也有	c=1 d=9.0857e-20 t=15065
ye zai 	也在	c=1 d=0.00137404 t=15065
ye zhi ding 	也制定	c=1 d=0.302704 t=15065
ye zhi you 	也只有	c=1 d=0.00201931 t=15065
yi 	一	c=7 d=1.93843 t=15065
yi 	以	c=7 d=0.323932 t=15065
yi 	已	c=1 d=0.603506 t=15065
yi 	矣	c=0 d=0.1 t=5614
yi 	藝	c=0 d=1.04223e-17 t=15065
yi ba 	一把	c=0 d=0.1 t=5578
yi ban 	一半	c=2 d=7.37374e-06 t=15065
yi ban 	一版	c=1 d=9.24689e-21 t=15065
yi ban 	一般	c=2 d=4.2661e-08 t=15065
yi ban gao zhong 	一般高中	c=1 d=3.97896e-12 t=15065
yi ban xing 	一般性	c=0 d=9.3062e-09 t=15065
yi bao 	醫保	c=0 d=4.09234e-20 t=15065
yi bao fan wei nei 	醫保範圍內	c=1 d=4.11285e-19 t=15065
yi bian 	一遍	c=1 d=0.0977834 t=15065
yi bian 	一邊	c=0 d=5.21053e-09 t=15065
yi bian bian 	一遍遍	c=0 d=3.89818e-07 t=15065
yi bian bian jie chu 	一遍遍接觸	c=1 d=3.91772e-06 t=15065
yi bian shi 	一邊是	c=1 d=5.23664e-08 t=15065
yi bing 	一併	c=0 d=1.40032e-21 t=15065
yi bing gan xie 	一併感謝	c=1 d=1.40734e-20 t=15065
yi bu de 	異步的	c=1 d=0.000443861 t=15065
yi bu zhi yao 	一步之遙	c=1 d=3.44424e-20 t=15065
yi ceng 	一層	c=0 d=0.1 t=5598
yi chang 	一場	c=1 d=0.358796 t=15065
yi chang 	異常	c=3 d=1.24886 t=15065
yi chang de 	異常的	c=0 d=0.013466 t=15065
yi ci 	一次	c=6 d=0.546216 t=15065
yi ci 	依次	c=1 d=3.15272e-09 t=15065
yi ci ci 	一次次	c=0 d=0.00948935 t=15065
yi ci ci de die dai 	一次次的迭代	c=1 d=0.0953692 t=15065
yi ci zhong da tu po 	一次重大突破	c=1 d=1 t=5555
yi dai 	一代	c=1 d=0.0128424 t=15065
yi dao 	一道	c=1 d=0.310367 t=15065
yi dao dao 	一道道	c=1 d=1.27936e-16 t=15065
yi dao hu 	一道弧	c=1 d=1.49386e-16 t=15065
yi deng jiang 	一等獎	c=2 d=4.98618e-12 t=15065
yi dian 	一點	c=2 d=0.0465717 t=15065
yi dian ban 	一點半	c=2 d=0.806541 t=15065
yi dian dian 	一點點	c=0 d=0.00437178 t=15065
yi dian zhong 	一點鐘	c=2 d=2.8196e-11 t=15065
yi ding 	一定	c=0 d=0.0677057 t=15065
yi ding cheng du 	一定程度	c=0 d=2.70565e-05 t=15065
yi ding shi 	一定是	c=2 d=3.48814e-12 t=15065
yi ding yao 	一定要	c=0 d=0.00398898 t=15065
yi ding yao xiao xin o 	一定要小心哦	c=1 d=0.0287246 t=15065
yi ding yao you 	一定要有	c=1 d=0.0391639 t=15065
yi dong 	移動	c=2 d=0.288985 t=15065
yi dong duan 	移動端	c=1 d=0.00160441 t=15065
yi dong shou fa huo 	移動收發貨	c=2 d=0.00429564 t=15065
yi dong wei zhi 	移動位置	c=1 d=4.56275e-05 t=15065
yi dong xiang mu dao 	移動項目到	c=1 d=6.62275e-06 t=15065
yi duan shi jian 	一段時間	c=1 d=0.000235786 t=15065
yi fa song 	已發送	c=1 d=0.0898153 t=15065
yi fen 	一份	c=0 d=0.00944202 t=15065
yi fen zi 	一分子	c=1 d=6.87874e-11 t=15065
yi ge 	一個	c=38 d=1.72903 t=15065
yi ge chui chui lao yi 	一個垂垂老矣	c=1 d=1 t=5615
yi ge dan 	一個單	c=1 d=0.0376283 t=15065
yi ge dui jie da 	一個對解答	c=1 d=1.03632e-08 t=15065
yi ge feng xian kong zhi 	一個風險控制	c=1 d=0.0175975 t=15065
yi ge gu shi xian 	一個故事線	c=1 d=0.000247277 t=15065
yi ge hou xu zhi chi mo shi 	一個後續支持模式	c=1 d=2.02978e-05 t=15065
yi ge ji ge 	一個幾個	c=1 d=5.17467e-15 t=15065
yi ge lao ren 	一個老人	c=1 d=9.31571e-20 t=15065
yi ge ren 	一個人	c=2 d=0.0800583 t=15065
yi ge shi jian biao 	一個時間表	c=1 d=2.00958e-05 t=15065
yi ge shu 	一個數	c=1 d=7.28551e-08 t=15065
yi ge wen ti 	一個問題	c=0 d=0.000327971 t=15065
yi ge xiang mu shang 	一個項目上	c=1 d=2.13124e-20 t=15065
yi ge xiao shi 	一個小時	c=2 d=8.25245e-06 t=15065
yi ge xing qi 	一個星期	c=1 d=0.00111378 t=15065
yi ge ye wu tiao zhan 	一個業務挑戰	c=2 d=3.77595e-05 t=15065
yi ge yue 	一個月	c=1 d=3.20091e-11 t=15065
yi gong 	一共	c=2 d=0.0308074 t=15065
yi gong you liu ge 	一共有六個	c=1 d=7.284e-08 t=15065
yi gu zuo qi 	一鼓作氣	c=1 d=0.000921047 t=15065
yi hang 	一行	c=2 d=1.40906e-06 t=15065
yi hou 	以後	c=3 d=0.937067 t=15065
yi hou ke yi 	以後可以	c=1 d=1.18406e-17 t=15065
yi hui 	一會	c=0 d=6.85865e-07 t=15065
yi hui 	議會	c=0 d=0.00158434 t=15065
yi hui er 	一會兒	c=0 d=8.62497e-10 t=15065
yi ji 	一級	c=1 d=4.29251e-22 t=15065
yi ji 	以及	c=9 d=1.01069 t=15065
yi ji jian she xing de li yong shi jian 	以及建設性的利用時間	c=1 d=0.332871 t=15065
yi jia 	一家	c=1 d=0.0569831 t=15065
yi jian 	意見	c=5 d=0.087654 t=15065
yi jian shi 	一件事	c=0 d=4.6141e-20 t=15065
yi jie jue 	已解決	c=1 d=1.03971e-17 t=15065
yi jing 	已經	c=18 d=0.51148 t=15065
yi jing bu shi wen ti 	已經不是問題	c=1 d=0.000553084 t=15065
yi jing cun zai 	已經存在	c=1 d=0.687289 t=15065
yi jing guo qu le 	已經過去了	c=1 d=0.0611149 t=15065
yi jing huo de 	已經活得	c=1 d=8.72499e-14 t=15065
yi jing zai 	已經在	c=1 d=0.158817 t=15065
yi ju 	一句	c=0 d=2.61347e-09 t=15065
yi ju hua 	一句話	c=0 d=0.00399551 t=15065
yi ke 	一顆	c=0 d=0.1 t=5612
yi lai 	依賴	c=0 d=0.0162838 t=15065
yi lan biao 	一覽表	c=1 d=2.38196e-05 t=15065
yi liang che 	一輛車	c=1 d=0.782705 t=15065
yi liang ge 	一兩個	c=1 d=5.21585e-20 t=15065
yi liao 	醫療	c=0 d=4.21697e-20 t=15065
yi liao bao xian 	醫療保險	c=1 d=3.00151e-19 t=15065
yi liu 	一流	c=0 d=0.067368 t=15065
yi liu da xue 	一流大學	c=2 d=0.677057 t=15065
yi lou 	一樓	c=0 d=0.0798516 t=15065
yi men 	一門	c=1 d=8.17312e-10 t=15065
yi miao 	一秒	c=0 d=0.000719046 t=15065
yi miao 	疫苗	c=1 d=3.1554e-19 t=15065
yi mo 	一抹	c=0 d=0.1 t=5645
yi mo 	一模	c=1 d=1 t=5767
yi nian 	一年	c=0 d=9.98437e-13 t=15065
yi nian li 	一年裏	c=1 d=8.27804e-13 t=15065
yi pian kong bai 	一片空白	c=0 d=6.22097e-06 t=15065
yi qi 	一期	c=0 d=7.15582e-06 t=15065
yi qi 	一起	c=15 d=0.316771 t=15065
yi qi chi 	一起喫	c=0 d=1.84771e-18 t=15065
yi qi chi wu fan 	一起喫午飯	c=1 d=1.85697e-17 t=15065
yi qi fa chu lai 	一起發出來	c=1 d=2.64612e-07 t=15065
yi qi gai 	一起改	c=1 d=0.267135 t=15065
yi qi kan kan ba 	一起看看吧	c=1 d=4.80159e-17 t=15065
yi qi shang xian 	一期上線	c=1 d=7.19168e-05 t=15065
yi qi zuo 	一起做	c=1 d=0.0031354 t=15065
yi qian 	以前	c=6 d=0.489192 t=15065
yi qian ke xing de suo you dai shu huo ji he yun suan 	以前可行的所有代數或幾何運算	c=1 d=9.51877e-09 t=15065
yi qie 	一切	c=1 d=0.0407622 t=15065
yi qing 	疫情	c=4 d=0.000532516 t=15065
yi qing 	移情	c=1 d=8.13928e-20 t=15065
yi quan 	一圈	c=0 d=2.8248e-12 t=15065
yi quan 	一拳	c=2 d=3.44054e-05 t=15065
yi ran 	依然	c=1 d=0.477114 t=15065
yi ru 	亦如	c=0 d=0.00769192 t=15065
yi ru dian 	亦如電	c=1 d=0.0773047 t=15065
yi shang 	以上	c=1 d=0.0536647 t=15065
yi sheng 	一聲	c=2 d=0.247337 t=15065
yi sheng 	醫生	c=1 d=0.0472367 t=15065
yi shi wei jing 	以史爲鏡	c=1 d=0.000784864 t=15065
yi shou 	一手	c=1 d=6.84094e-05 t=15065
yi si 	一絲	c=0 d=0.1 t=5587
yi si 	意思	c=4 d=0.00367942 t=15065
yi si 	疑似	c=1 d=0.0096577 t=15065
yi si shi 	意思是	c=2 d=6.62705e-06 t=15065
yi si yi yang 	意思一樣	c=1 d=2.63974e-08 t=15065
yi tai 	一臺	c=0 d=0.00134335 t=15065
yi tao 	一套	c=0 d=1.94046e-06 t=15065
yi tao jie jue fang an 	一套解決方案	c=2 d=3.91015e-05 t=15065
yi ti 	一題	c=0 d=1.98e-08 t=15065
yi ti zhong 	一題中	c=2 d=4.11349e-07 t=15065
yi tian 	一天	c=1 d=1.17584e-16 t=15065
yi tiao 	一條	c=0 d=1.89255e-06 t=15065
yi tiao gu shi xian 	一條故事線	c=3 d=0.0166562 t=15065
yi tiao xian 	一條線	c=0 d=0.1 t=5635
yi ting dao 	一聽到	c=1 d=0.10435 t=15065
yi tuan 	一團	c=0 d=0.1 t=5571
yi tuan huo 	一團火	c=0 d=0.1 t=5601
yi wei 	一位	c=3 d=0.216005 t=15065
yi wei lao ren jia 	一位老人家	c=1 d=7.86896e-05 t=15065
yi wei zhe 	意味着	c=1 d=0.0107358 t=15065
yi wen 	疑問	c=0 d=0.0148823 t=15065
yi wu jiao yu 	義務教育	c=2 d=3.06923e-09 t=15065
yi xi lie 	一系列	c=0 d=0.0305746 t=15065
yi xia 	一下	c=40 d=0.572566 t=15065
yi xia 	以下	c=0 d=0.0171187 t=15065
yi xia ba 	一下吧	c=4 d=0.0293049 t=15065
yi xia bei 	一下唄	c=1 d=0.242926 t=15065
yi xia ne 	一下呢	c=1 d=0.0227089 t=15065
yi xiao shi 	一小時	c=3 d=0.000372602 t=15065
yi xie 	一些	c=11 d=0.0321448 t=15065
yi xie fen shu 	一些分數	c=1 d=1.35404e-07 t=15065
yi xie ren 	一些人	c=1 d=1.48691e-20 t=15065
yi xie wen ben 	一些文本	c=1 d=0.000800719 t=15065
yi xie wen ti 	一些問題	c=0 d=0.1 t=5558
yi xing xiang xi 	異性相吸	c=1 d=1 t=5451
yi xu 	一緒	c=1 d=2.68886e-19 t=15065
yi yan 	一眼	c=1 d=6.48055e-09 t=15065
yi yang 	一樣	c=7 d=0.523613 t=15065
yi yang de 	一樣的	c=2 d=0.0119145 t=15065
yi yang dun cuo 	抑揚頓挫	c=0 d=1.57832e-17 t=15065
yi yang mei you fan ying 	一樣沒有反應	c=1 d=0.00257991 t=15065
yi ye 	一頁	c=2 d=0.120032 t=15065
yi ye de shi hou 	一頁的時候	c=1 d=1.00638e-16 t=15065
yi yi 	意義	c=2 d=0.0927743 t=15065
yi you 	已有	c=2 d=0.000176887 t=15065
yi you gong neng 	已有功能	c=1 d=4.77276e-05 t=15065
yi you zhi shi 	已有知識	c=1 d=1.27211e-08 t=15065
yi zhang 	一張	c=2 d=1.23277e-10 t=15065
yi zhao 	依照	c=1 d=1 t=5286
yi zhe yi ban 	以這一版	c=1 d=1.57752e-10 t=15065
yi zheng zhou 	一整週	c=1 d=0.000188766 t=15065
yi zhi 	一直	c=1 d=0.00108628 t=15065
yi zhi 	一職	c=1 d=0.00195963 t=15065
yi zhi 	一致	c=1 d=1.76184e-16 t=15065
yi zhi 	已知	c=1 d=0.0057994 t=15065
yi zhi de 	一致的	c=0 d=0.0172907 t=15065
yi zhi liang 	已知量	c=1 d=3.07488e-09 t=15065
yi zhi shu 	已知數	c=1 d=7.77187e-06 t=15065
yi zhi yu 	以至於	c=1 d=2.5428e-09 t=15065
yi zhong 	一種	c=0 d=0.0136169 t=15065
yi zhou 	一週	c=0 d=2.74131e-12 t=15065
yi zhou zhi hou 	一周之後	c=1 d=2.92442e-07 t=15065
yi zu 	一族	c=0 d=1.40371e-20 t=15065
yi zu 	一組	c=2 d=0.00618889 t=15065
yi zuo 	一座	c=0 d=0.1 t=5555
yin 	印	c=0 d=2.22168e-10 t=15065
yin 	銀	c=2 d=0.0434135 t=15065
yin biao 	音標	c=1 d=0.0314298 t=15065
yin ci 	因此	c=6 d=0.053397 t=15065
yin ci hai yao 	因此還要	c=1 d=1.85539e-07 t=15065
yin dao 	引導	c=1 d=0.0162026 t=15065
yin dao ni zou duo yuan 	引導你走多遠	c=1 d=6.28563e-09 t=15065
yin du 	印度	c=0 d=4.83321e-07 t=15065
yin du cheng fa biao 	印度乘法表	c=1 d=4.85744e-06 t=15065
yin fu 	音符	c=1 d=0.000599149 t=15065
yin hao 	引號	c=1 d=0.00670434 t=15065
yin hao nei 	引號內	c=1 d=1.27541e-09 t=15065
yin jiao 	引腳	c=10 d=0.0599391 t=15065
yin jiao tu 	引腳圖	c=1 d=0.0031354 t=15065
yin jie 	音階	c=2 d=1.891e-17 t=15065
yin liang 	音量	c=2 d=1.6481e-17 t=15065
yin ling 	引領	c=0 d=0.00107807 t=15065
yin ling zuo yong 	引領作用	c=1 d=0.0108347 t=15065
yin pin 	音頻	c=1 d=7.25385e-18 t=15065
yin qi 	引起	c=1 d=3.5449e-06 t=15065
yin qing 	引擎	c=5 d=0.000121572 t=15065
yin ren er yi 	因人而異	c=1 d=0.000323925 t=15065
yin ru nao hai 	印入腦海	c=2 d=4.91938e-09 t=15065
yin shu 	因數	c=3 d=4.15654e-05 t=15065
yin shu de 	因數的	c=1 d=1.28136e-05 t=15065
yin si 	隱私	c=0 d=3.32125e-05 t=15065
yin su 	因素	c=1 d=0.0247833 t=15065
yin wei 	因爲	c=27 d=0.772436 t=15065
yin wei kuo zhan ban 	因爲擴展板	c=1 d=0.00259284 t=15065
yin wei ni bu shi 	因爲你不是	c=1 d=4.82155e-07 t=15065
yin wei qian zhe que ding le 	因爲前者確定了	c=1 d=0.985112 t=15065
yin wei ta de che shen 	因爲它的車身	c=1 d=1 t=5456
yin wei you shi pin 	因爲有視頻	c=1 d=0.0558548 t=15065
yin wei zhi shi 	因爲知識	c=1 d=0.118245 t=15065
yin xiang 	印象	c=0 d=0.0484325 t=15065
yin xing 	隱性	c=0 d=0.00335406 t=15065
yin xing zhi shi 	隱性知識	c=1 d=0.0337087 t=15065
yin yong 	引用	c=0 d=3.03685e-07 t=15065
yin yong zhe xie 	引用這些	c=1 d=3.05113e-06 t=15065
yin yue 	音樂	c=1 d=1.58596e-14 t=15065
ying 	應	c=1 d=1.07324e-08 t=15065
ying cun 	英寸	c=2 d=0.0719459 t=15065
ying dang 	應當	c=0 d=0.0970446 t=15065
ying dang neng 	應當能	c=0 d=3.38892e-07 t=15065
ying dang zhi dao xie shen me 	應當知道些什麼	c=1 d=0.97531 t=15065
ying de de 	應得的	c=1 d=9.68929e-12 t=15065
ying dui 	應對	c=2 d=0.0890496 t=15065
ying gai 	應該	c=33 d=0.772507 t=15065
ying gai bi jiao hao 	應該比較好	c=1 d=9.79167e-18 t=15065
ying gai de 	應該的	c=1 d=0.0152985 t=15065
ying gai gai cheng zhong wen 	應該改成中文	c=1 d=0.00111936 t=15065
ying gai hai shi xian chang de 	應該還是現場的	c=1 d=0.0142642 t=15065
ying gai jia yi kao lv 	應該加以考慮	c=1 d=5.94925e-09 t=15065
ying gai neng gou 	應該能夠	c=1 d=8.34249e-16 t=15065
ying gai shi 	應該是	c=3 d=0.00158052 t=15065
ying guo 	英國	c=0 d=0.00158434 t=15065
ying guo yi hui 	英國議會	c=1 d=0.0159229 t=15065
ying huang 	英皇	c=4 d=1.76035 t=15065
ying jian 	硬件	c=2 d=0.0913931 t=15065
ying jian wai she 	硬件外設	c=1 d=1 t=5367
ying li 	盈利	c=1 d=4.32152e-13 t=15065
ying pan 	硬盤	c=1 d=0.0136366 t=15065
ying she 	影射	c=0 d=0.000379148 t=15065
ying she dao 	影射到	c=1 d=0.00381048 t=15065
ying shou 	營收	c=1 d=0.0675424 t=15065
ying tao 	櫻桃	c=1 d=1 t=5630
ying wen 	英文	c=6 d=0.0615754 t=15065
ying wen de 	英文的	c=1 d=0.0566989 t=15065
ying wen fan yi 	英文翻譯	c=1 d=0.000788798 t=15065
ying wen ming cheng 	英文名稱	c=1 d=1.31063e-06 t=15065
ying wen ming zi 	英文名字	c=1 d=7.34696e-21 t=15065
ying wen zi mu 	英文字母	c=1 d=1 t=5152
ying xiang 	影響	c=5 d=0.0745633 t=15065
ying xiang dao 	影響到	c=0 d=2.49763e-05 t=15065
ying xiang le na xie ke hu 	影響了那些客戶	c=1 d=0.00132678 t=15065
ying xing 	硬性	c=1 d=7.80127e-21 t=15065
ying xiong 	英雄	c=1 d=0.316637 t=15065
ying yong 	應用	c=7 d=0.390088 t=15065
ying yong de 	應用的	c=0 d=0.00323869 t=15065
ying yong de bu hao 	應用的不好	c=1 d=1.68696e-05 t=15065
ying yong fan wei 	應用範圍	c=1 d=0.0347353 t=15065
ying yong ping tai 	應用平臺	c=0 d=1.78665e-05 t=15065
ying yong ti 	應用題	c=2 d=2.56748e-05 t=15065
ying yong yu bie de 	應用與別的	c=1 d=1.5383e-08 t=15065
ying yu 	英語	c=2 d=0.00744852 t=15065
ying yu cuo ti 	英語錯題	c=2 d=1.30575e-14 t=15065
ying yu cuo ti ben 	英語錯題本	c=1 d=1.09284e-15 t=15065
ying yu de 	英語的	c=1 d=0.00198925 t=15065
yong 	用	c=12 d=0.791766 t=15065
yong ci 	用詞	c=1 d=3.32634e-22 t=15065
yong dao 	用到	c=4 d=1.01412e-08 t=15065
yong de shi 	用的是	c=1 d=0.0101142 t=15065
yong de shi zhi xian dian ji 	用的是直線電機	c=1 d=1 t=5414
yong dian nao 	用電腦	c=0 d=1.87825e-05 t=15065
yong dui dai 	用對待	c=1 d=1.07565e-05 t=15065
yong guan dao fu 	用管道符	c=1 d=5.18542e-10 t=15065
yong guo 	用過	c=1 d=2.92641e-15 t=15065
yong hen da de bu tong 	用很大的不同	c=1 d=8.46425e-10 t=15065
yong hu 	用戶	c=1 d=0.0700161 t=15065
yong hu tong dian 	用戶痛點	c=1 d=1 t=5239
yong lai 	用來	c=5 d=0.850907 t=15065
yong lai ji lu 	用來記錄	c=1 d=3.86939e-07 t=15065
yong li 	用力	c=0 d=1.13802e-22 t=15065
yong sheng 	永勝	c=0 d=3.20811e-09 t=15065
yong wo de she bei 	用我的設備	c=1 d=7.73969e-16 t=15065
yong xing shi tui li 	用形式推理	c=1 d=9.56648e-09 t=15065
yong yi tian 	用一天	c=1 d=5.9677e-16 t=15065
yong yi xia 	用一下	c=1 d=0.0131675 t=15065
yong yuan 	永遠	c=1 d=4.22788e-20 t=15065
yong zai 	用在	c=1 d=0.287369 t=15065
yong zuo 	用作	c=0 d=0.0514274 t=15065
yong zuo zhan 	用作棧	c=1 d=0.516851 t=15065
you 	又	c=2 d=0.0614212 t=15065
you 	有	c=50 d=2.9733 t=15065
you 	由	c=2 d=0.310367 t=15065
you ba 	又把	c=1 d=7.95481e-15 t=15065
you bang zhu 	有幫助	c=2 d=0.00307331 t=15065
you bei 	又被	c=1 d=5.51169e-22 t=15065
you bi jiao da 	有比較大	c=1 d=0.0265162 t=15065
you bi yao 	有必要	c=1 d=0.000833397 t=15065
you bian dong 	有變動	c=1 d=1.67188e-17 t=15065
you bu neng 	又不能	c=1 d=1.7573e-15 t=15065
you bu shi 	又不是	c=2 d=6.15134e-12 t=15065
you ce 	右側	c=0 d=5.38128e-06 t=15065
you cuo 	有錯	c=1 d=0.145148 t=15065
you di fang 	有地方	c=1 d=4.56663e-15 t=15065
you dian 	優點	c=6 d=0.177646 t=15065
you dian 	有點	c=7 d=0.129219 t=15065
you dian bian hua 	有點變化	c=1 d=2.22358e-19 t=15065
you dian jin 	有點緊	c=1 d=0.000553084 t=15065
you dian ka 	有點卡	c=1 d=4.35442e-14 t=15065
you dian man 	有點慢	c=1 d=0.00362464 t=15065
you dian piao hu 	有點飄忽	c=1 d=3.17943e-20 t=15065
you dian tu chu 	有點突出	c=1 d=0.594521 t=15065
you dian wen ti 	有點問題	c=1 d=2.72671e-07 t=15065
you dian xiang 	有點像	c=1 d=4.75543e-21 t=15065
you dian yi 	優點一	c=1 d=3.02807e-05 t=15065
you duo shao 	有多少	c=1 d=0.0309618 t=15065
you ge 	有個	c=2 d=0.433874 t=15065
you ge hui 	有個會	c=1 d=0.0466538 t=15065
you ge jian yi 	有個建議	c=1 d=0.00108086 t=15065
you ge shi he ni tao lun 	有個事和你討論	c=1 d=0.0023935 t=15065
you ge shi qing 	有個事情	c=1 d=0.144424 t=15065
you geng duo de jie shao 	有更多的介紹	c=1 d=1.77345e-05 t=15065
you gua le 	又掛了	c=1 d=2.77075e-19 t=15065
you guan 	有關	c=1 d=1.46857e-21 t=15065
you guo 	有過	c=2 d=0.00114197 t=15065
you hao chu 	有好處	c=1 d=6.06944e-09 t=15065
you hua 	優化	c=1 d=0.00222055 t=15065
you hui 	有會	c=1 d=0.280832 t=15065
you ji ge 	有幾個	c=1 d=0.000160054 t=15065
you ji ge ren 	有幾個人	c=1 d=4.83897e-20 t=15065
you ji hua 	有計劃	c=1 d=5.85053e-18 t=15065
you ji hui 	有機會	c=1 d=9.86118e-13 t=15065
you jian 	郵件	c=14 d=0.93886 t=15065
you jian li mian 	郵件裏面	c=1 d=3.49688e-22 t=15065
you jian yi jing 	郵件已經	c=1 d=0.160414 t=15065
you jiang 	有獎	c=1 d=1.88017e-16 t=15065
you kai tou 	有開頭	c=1 d=2.18333e-10 t=15065
you ke 	遊客	c=0 d=0.0293758 t=15065
you ke hu 	有客戶	c=1 d=7.35596e-06 t=15065
you ke neng 	有可能	c=1 d=0.08291 t=15065
you ke neng ma 	有可能嗎	c=1 d=0.0850088 t=15065
you ke zhong xin 	遊客中心	c=1 d=0.29523 t=15065
you kong 	有空	c=11 d=0.491201 t=15065
you kong ma 	有空嗎	c=1 d=0.000660338 t=15065
